cleaned_description,50.72 section
"This IR identifies a non-conforming condition with the Unit 2 Saltwater system header and associated piping for both subsystems located in the Intake Structure with respect to tornado missile protection. The Saltwater system header and some piping is vulnerable to a tornado missile that enters the Intake Structure through the watertight door, IS-2. The saltwater system provides a heat sink for the removal of process and operating heat from safety-related components during a transient or design basis accident. Since the saltwater system header and associated piping are not protected against a tornado missile entering through watertight door IS-2, the design does not meet the licensing basis and a non-conforming condition exists. NRC Enforcement Guidance Memorandum EGM 15-002, Revision 1, provides for application of NRC enforcement discretion which allow Unit 1 Saltwater System to be returned to an operable status based on the application of compensatory measures which are intended to reduce the likelihood that the tornado event would result in a failure of the Saltwater system. Application of the guidance in EGM 15-002, Revision 1, and NRC DSS-ISG-2016-01 Revision 1 Appendix A, describes acceptable initial and comprehensive compensatory measures necessary to ensure that the identified nonconforming condition in this issue report can be treated by the NRC with enforcement discretion. ""The measures listed below should be verified as current and readily deployable within a very short timeframe."" The resident inspector has been informed of this issue and of the intent to utilize enforcement discretion in accordance with EGM 15-002 (Rev 1).","['50.72(b)(3)(ii)(B)', '50.72(b)(3)(v)(D)']"
"NRC Inspection Report 2018-010, ""Triennial Fire Protection Inspection,"" identified the following licensee-identified violation: Fire Protection Program Chapter 5.1, ""Methodology,"" assumes that two or more circuit failures resulting in spurious operation of two or more valves in series at a high/low pressure interface may occur due to a postulated fire in any given area. Fire Protection Program Chapter 6.2, ""Analysis of High/Low Pressure Interfaces,"" requires Exelon to address the situations for which the isolation valves at a given interface point consists of two electrically controlled valves in series and where the potential may exist for a single fire to cause damage to cables associated with both valves. Contrary to above, as of March 14, 2018, Exelon identified they failed to evaluate two motor-operated valves in series, MO-2-06-2663 and MO-2-06-038B for Unit 2, and MO-3-06-3663 and MO-3-06-038B for Unit 3, where the potential may exist for a single fire to cause damage to cables associated with both valves. Specifically, a postulated fire scenario could cause spurious opening of the valves, which may potentially result in a fire-induced loss of coolant accident through the high/low pressure system interface. Exelon's evaluation identified the affected valves' cables are routed through Fire Area 6N for the Unit 2 valves, and Fire Area 13N for the Unit 3 valves, and thus, a possibility exists for a single fire to cause damage to cables associated with both valves. Since this is a licensee-identified violation, no cross-cutting aspect was assigned.",[]
"One of the designated EP FTS lines used for HPN communication located in the TSC is not working properly. There are two phones tied into the same phone line. Both phones started ringing sporadically. When the handset on the phone is picked up, there is only static on the line. When the phone is hung up again, the phones continue to ring sporadically. This is a phone line supplied by the NRC. The phone line is 700-380-7015.",['50.72(b)(3)(xiii)']
"Unit 2 experienced a turbine trip and reactor scram. Walkdown of Relay room identified relay 87-2SPUY02 ""Unit Phase 1 Differential"" tripped. This relay inputs into 86-1-SPUY01 which appears to be the first computer point received on the sequence of events.",['50.72(b)(2)(iv)(B)']
Off Gas Flow High alarm received in the Main Control Room. Off Gas flow was observed to be greater than 300 SCFM.,['50.72(b)(2)(iv)(B)']
"Leak was found on the high side 1"" hpci sensing line in the drywell 135'. The leak was found behind a pipe guide. Pictures were taken and supplied to the OCC.",['50.72(b)(2)(i)']
At 0314 (which is same time as previous actuation from 9/23/18) the 0PR34J Rad monitor Gas Channel 0PB134 Spiked above the high rad set point causing automatic VC realignment to emergency mode. The BAR was followed and all actions performed as directed. SM was notified and RP was contacted to perform filter changes as necessary. The monitor rad reading stayed elevated this time and did not gradually lower to original value. Previous IR 04176016 was closed to trending.,[]
At 0314 (which is the same time as previous actuations) the 0PR34J Rad monitor Gas Channel 0PB134 spiked above the high rad set point causing automatic VC realignment to emergency mode. The BAR was followed and all actions performed as directed. SM was notified and RP was contacted. The monitor rad spiked high and then gradually lowered to the original value.,[]
"Engineering reported a thru wall leak on 2D S/G bowl drain line. This is considered RCS pressure boundary leakage; TS 3.4.13 applies with action to be in Mode 5 within the next 36 hrs and is reportable IAW SAF 1.4 degraded principle safety barrier, 8 hr ENS.",['50.72(b)(3)(ii)(A)']
"Noted large increase of sodium hypochlorite usage over last 3 days while taking routine tank level readings. Normal usage is approximately 200 gallons/day into the circ water and service water systems. Tank level dropped approximately 1900 gallons over 3 days as compared to an expected 600 gallons. The leak is contained in the berm surrounding the tank and is not leaking into the surrounding environment. Took a grab sample, found 0.81 ppm (1:100000 dilution) or 8.1% sodium hypochlorite.",['50.72(b)(2)(xi)']
"Walkdowns and drawing reviews were performed to determine the extent of condition for tornado missile vulnerabilities beyond the EDG exhaust stacks as identified in IR 3961028. It has been determined that the west walls of the MG Set Rooms and Fan Rooms and the safety-related cables located within these areas are vulnerable to damage from a tornado generated missile. As such, these walls do not conform with UFSAR Sections C.2.4 and H.2.1. The walls are metal panel construction, not reinforced concrete as specified in UFSAR C.2.4, and therefore do not provide protection against tornado missiles. A review by Operations Support of the potential equipment lost due to a tornado event (ref. EC 623295 for criteria) has determined that the safe shutdown function of RCIC and Torus Cooling may be lost. Entry into the LCO Conditions shown below should be made for inoperable systems / equipment required to support and maintain safe shutdown. 3.5.2 RCIC, Conditions A, B 3.6.2.3 Residual Heat Removal (RHR) Suppression Pool Cooling, Conditions A, B, C, D Mitigation of potential worst-case damage could require operation of safety-related systems outside of their normal configuration. However, existing strategies, equipment, and tools are available on-site to perform these operations. A separate IR will be created to address tornado missile protection barrier non-conformances that do not require LCO entries. Peach Bottom will comply with NRC Enforcement Guidance EGM 15-002 and ISG-2016-01. Actions to comply with the EGM: 1. Systems listed in the LCOs above should be declared inoperable. They should be logged as inoperable. Applicable compensatory measures should be verified as still being in place (those already credited under AR 3961028 for the EDGs), and the equipment should be declared operable but nonconforming as allowed by the NRC in EGM 15-002 (ML15111A269). Documentation of the compensatory measures should be included in the shift review of the IR. 2. Ops/Reg Assurance should determine what more comprehensive compensatory measures are required to meet the recommendations of ISG-2016-01. These should be completed as soon as practical, but no later than 60 days after identification of the issue. 3. Engineering (PEDM) should determine long term resolution of the issue. A license amendment or a modification are currently being pursued. Overall resolution is required by 6/10/20. 4. Reg Assurance should report the issue to the NRC as appropriate (see NRC Interim Staff Guidance DSS-ISG-2016-01). EGM 15-002 rev 1 page 6, and ISG 2016-01 rev 1 App B, Section 2, allows licensees to not notify the NRC for subsequent nonconformances. Since an 8 hour call was made to the NRC for IR 3961028, a call for this IR is not required. An LER will still be needed. Previous / Related Issues: IR 322722 IR 3961028 References: UFSAR Sections C.2.4, H.2.1 DBD P-T-07 DBD P-T-12","['50.72(b)(3)(ii)(B)', '50.72(b)(3)(v)(D)']"
"On Nov 4, 2018 at 2324, a Reactor Water Cleanup (RWCU) isolation occurred due to high differential flow (>59gpm for 45 secs) while executing procedure 3303.01 section 8.1.6.9, securing from reject mode. The isolation took place upon shutting 1G33-F046 (Drn Flow to Cdsr) per step 8.1.6.9.1. RWCU was aligned to the A FW line for return back to the RPV during the evolution. 1B21-F065A was open and 1B21-F065B was shut.",['50.72(b)(3)(iv)(A)']
"During normal power operation annunciators in the control room were received for a loss of air. AOP-12 Loss of Service Air was executed by the crew. Air compressor 39AC-2A had tripped with the remaining air compressors 39AC-2B and 39AC-2C were in service and not maintaining the air header. 39AC-2A was isolated and air header pressure was restored. During this timeframe reactor building differential pressure reached .06"" WC. EOP-5 Secondary Containment Control/Radioactivity Release Control was entered and standby gas treatment was initiated to restore reactor building differential pressure to tech spec values.",['50.72(b)(3)(v)(C)']
"During performance of 0BwOSR 5.5.18.d-1, operators identified failed acceptance criteria for dP between Train A HVAC Room and Div. 11 MEER as well as between Train A HVAC Room and Div. 12 MEER. The readings were -0.108 inH2O for both unacceptable readings. The operating crew inspected the 0A VC HVAC room and DIV 11/12 MEERs looking for leaking ducts, as accessible, bypass leakage paths, door seals, etc looking for a reason why the pressure in the DIV 11/12 MEER rooms is too high. Additionally, the EO's inspected the dampers for those rooms to verify expected position. Nothing apparent found during inspection/investigation by EO's and SRO's. LCO Condition B was entered for CRE inoperability for the failed acceptance criteria. For mitigating actions, the crew realigned to the as-found ventilation alignment prior to the start of the test. Differential pressure between the two sets of rooms was retaken and all dP's were positive as necessary. Testing was placed on hold.",[]
"NSPS STS failed offline and upon investigation showed Division 3 had a failure: Fail DIV-BAY-FIL-SLOT:CARD CYCLE TESTTYP-SUBTYP-NO>DATA 3-B-A16-A121:LDDR 15934 SYSTEM-BFT-54 ERR CODE 1: CARD FAILED: SYSTEM TEST>ICB All other division had ERR CODE 12: WAITING FOR CTS >NONE Buffer Data from Division 3: 3-B-A16-A121:LDDR 10302 SYSTEM-HPCS-1 ERR CODE 1: CARD FAILED:SYSTEM TEST>ICB Card Buffer Data: LOCATION: 3-B-A16-A121 CARD TYPE:LDDR STATUS(10) CARD READ A BAD MONITOR PATTERN TYPE BITS: 11111000 INJ:0000 ADR READ: 21 MON:+00+ '-':READ 0, EXPECTED 1; '+':READ 1, EXPECTED 0 Placed Div 3 STS Down and brought Div 1 & 4 back online. Performed Safety System Status Report and verified no valves repositioned.",['50.72(b)(3)(v)(D)']
"While isolating RB Ventilation to support T/O, RB d/p was less than -0.25"" WC for 10 seconds. The highest reading noted was -0.14"" WC.",['50.72(b)(3)(v)(D)']
A SPURIOUS HI-HI TRIP AND ALERT ON 27RM-104B CAUSED AN ISOLATION SIGNAL TO THE VENT AND PURGE VALVES. THE ALARM (09-4-0-4) CONT HI RANGE RAD MON B FAIL OR POWER LOSS WAS ALSO RECEIVED AT THE SAME TIME. CURRENT TREND AND PREVIOUS TRENDS ON PI COULD NOT REVEAL THE CAUSE OF THE SPURIOUS SIGNAL,[]
"LOS-AP-R2, Unit 2 Alternate Power Source Breaker Operability Surveillance is a test to verify U1 Bus 141Y can Feed U2 Bus 241Y. During the surveillance both ACB 1414 and 2414 were closed. Step 1.g.5 of attachment A has us open ACB 2412, SAT feed to Bus 241Y. As soon as ACB 2412 was opened, ACB 1414 locked out then tripped. Shortly afterward ACB 2414 also tripped. This sequence de-energized Buses 241Y & 241X as well as several sub-buses. The common DG started as expected, stripped Bus 241Y, and then closed in on Bus 241Y to re-energize it. This caused a loss of various other equipment as well as an ""A"" RPS half-scram.",['50.72(b)(3)(iv)(A)']
"Report from the field identified that a Sewage pipeline backed-up/leaked into a manhole, which overflowed to a storm drain near the U2 Main Transformer. Storm Drain line goes into the Chesapeake Bay. FASW reported to the scene and blocked the drain to prevent more sewage fluid going into the bay. Upon further investigation, other manholes along the OCC and South Service Bldg were identified overflowing. All storm drains in proximity to the overflowed manholes were blocked to prevent any further discharge into the bay. Additionally, upstream lavatories in the sewage line have been secured (Switchyard, Warehouse, and OCC). Reportability per LS-AA-1020 and LS-MA-1040 has been performed.",['50.72(b)(2)(xi)']
"A 1 inch by 2 inch in size piece of unidentified material that appears to be historical was found on the core barrel ledge while NDE was moving the sub into position for exams. The material is very light and appears to be in a degraded condition. Attachment 10 has been generated and notifications have been made to the shift manager (Davis), unit supervisor (Wrede), OCC (Boyle), RE (Perlov) and email sent to Fuels (Nanovsky). Per MA-AA-716-008, Attachment 10, a recovery plan is required for retrieval of the identified material. Recovery plan for the historical material found on core barrel ledge in cavity at 0 degrees. A tri nuke 260 vacuum with the vacuum hose attachment will be used to vacuum the material. Once the material is in the vacuum, a bucket will be placed under the hose end to ensure that the material does not fall out of the hose. The vacuum will be left running for several minutes to ensure that the material is in the filter. As far as extent of condition, a visual inspection of the entire area (cavity floor areas, flange areas, core barrel ledge and surrounding areas, vessel core plate) was performed with no other material located. Note that this is not the FOSAR inspection, and that will be performed tomorrow night per the station schedule and within a shift of the commencement of core reload.",[]
"On 4/13/19 unit 1 was performing N1-ST-Q29 to obtain stroke times for turbine stop valve 13. Per attachment 3, TSV-13 was stroked closed, and then reopened. Once open it immediately reclosed with the 3 remaining TSV's resulting in a mechanical turbine trip. Approximately 30 seconds (4/14/19 00:03) later the turbine bypass valves closed and the reactor scrammed on high pressure.","['50.72(b)(2)(iv)(B)', '50.72(b)(3)(iv)(A)']"
"While performing the flange inspection prior to head set per BMP 3118-7 a slotted head, stainless steel, machine screw, 5x40 1/4"" long (.080) thick, was discovered on the RX vessel carbon flange (not in the O-ring seating surface). All work was stopped and notifications were made to the RXS manager and OCC.",[]
Entered 2BOA SEC-7 due to elevated temperature on AF piping downstream of 2AF005H. Temperature recorded locally was 146 degrees F (>130 deg F is entry condition). 2BOL 7.5 was entered when 2AF013H was closed per 2BOA SEC-7. 2B AF Pp was run to flush AF line per 2BOA SEC-7. 2AF013H was reopened and 2BOL 7.5 was exited. AF piping temperatures were restored to normal (78 deg F). Temperatures were verified stable 6 hours after the 2B AF Pp run per 2BOA SEC-7. 2BOA SEC-7 was exited at 0207 4/25/19.,['50.72(b)(3)(iv)(A)']
"At approximately 1230 on Friday 4/26/19, it was noticed that outbound phone calls on the commercial telephone system (AVAYA phones) were not functional for about 5 minutes. Inbound calls remained functional and no other phone lines (NARs, ENS, damage control/director hotlines) were impacted.",['50.72(b)(3)(xiii)']
"UNEXPECTED ALARM 903-3 E-16, RX BLDG FUEL POOL CH B RAD HI. Actions Taken: Verified per DAN automatic actions all occurred. Both Units RBV systems tripped and SBGT auto started. Reactor Building DP remained less than -0.3"" of water at all times and is currently at -0.48"". The 3-1801-06 recorder indicates a momentary spike from 8 mrem/hr up to 79 mrem/hr. The reading returned to 8 mrem/hr and is now steady. Only the instrument 3-1705-16B indicated any dose rate change. The 3-1705-16A remained steady at 7 mrem/hr. RP was dispatched along with the EO and reports that all dose rates on the refuel floor are normal and consistent with recent surveys.",[]
"During O-2.1 plant shutdown, Operators attempted to close the MSIVs and the A MSIV (V-3517) did not operate as expected. The first attempt to operate the A MSIV switch did not operate smoothly, so the operator attempted the A Loop Steam Line Isolation pushbutton. The A MSIV did not close as expected, so another operator attempted the switch again, successfully closing the valve. The following timeline is based on observed actions at the MCB and PPCS plots for SLI signals (PPCS points MSISIGA/MSISIGB) and MSIV position (PPCS points V3516/V3516 and board light indications)
11:30:26 (approx.) . HCO operated switch for A MSIV
11:30:27 (approx.) . HCO operated switch for B MSIV
11:30:29 . B MSIV closed
11:30:31 . HCO operated SLI Loop A pushbutton to attempt to close A MSIV
11:30:37 (approx.) . Extra RO attempted MSIV switch again.
11:30:40 . A MSIV closed by PPCS indication and MCB indication
HCO and Extra RO reported that the A MSIV switch did not feel crisp during operation. Second operation of the switch by the Extra RO was more forceful and is believed to be the reason that the A MSIV closed. Additionally, the switch did not spring return to the auto position when released.",['50.72(b)(3)(v)(A)']
"Problem Description

POSTULATED HOT SHORT FIRE EVENT THAT COULD ADVERSELY IMPACT SAFE SHUTDOWN EQUIPMENT.

Condition Description: A review of industry Operating Experience identified that there were unprotected DC control circuits for nonsafety-related DC motors which are routed from the Battery Charger Rooms to other separate fire areas. Circuit Breakers used to protect the motor power conductors appear to be inadequate to protect the control conductors. The concern is that under fire safe shutdown conditions, it is postulated that a fire in one area can cause short circuits potentially resulting in secondary fires or cable failures in other fire areas where the cables are routed. The secondary fires or cable failures are outside the assumptions of the Safe Shutdown Analysis.

TRM Actions are being implemented as necessary. While reviewing AR 01581135 ""OPEX RVW OF EVENT 49490 NEEDED FOR SOUTH TEXAS HOT SHORT"" Electrical Design determined that the control circuit #12AWG cable for the Turbine Generator Emergency Bearing Lube Oil (EBOB) 94P-2 pump is unfused, and would not be protected by the motor circuit breaker with a trip setting of 250 amps. This condition also exists for the Emergency Seal Oil Pump (ESOP) 94P-13 (125A Circuit breaker) and RFPT DC Emergency Oil Pumps 31P-7A & 31P-7B (100A CB breaker.) Nonsafety-related control cables for these pumps are routed in safety-related trays with safety-related cables thru Fire Zones BR-4, BR-5, CS-1, RR-1, and CR-1. JAF identified a similar issue during the initial review of a different OE several years ago and resolved it by installing fuses on the 125VDC Station Batteries Ammeter lines. Similar modifications will be generated to add fuses to the control power wiring to isolate them in case of a fault. The NRC Resident Inspector has been notified.",['50.72(b)(3)(ii)(B)']
"The NRC ENS phone is failing intermittently. The NRC was unable to complete the 0400 phone call using the dedicated line as it would not ring in the MCR. NRC contacted MCR via SM phone (x6664) and was able to validate the phone is not responding as required. NRC initiated a help ticket on their end for resolution. In the interim, alternate phone lines are available as procedurally dictated by EP-AA-121.",['50.72(b)(3)(xii)']
"While performing C area rounds and CPS 9000.02D001, the operator found primary to secondary containment differential pressure high out of spec on both division 1 (1PY-VG-145) and division 2 (1PY-VG-147) sensors. The division 1 DP sensor was found at 0.412 psig and the division 2 sensor was found at 0.408 psig. The round is out of spec when differential pressure is not between -0.25 psig and 0.25 psig. The WCS was immediately notified.","['50.72(b)(3)(ii)(B)', '50.72(b)(3)(v)(C)']"
"Exelon Generation was informed by the Replacement Steam Generator (RSG) supplier BWXT that certain small secondary-side nozzles on the replacement steam generators at Byron and Braidwood may not be in full compliance with the ASME Code of construction. BWXT documented the potential ASME Code nonconformance in a letter to Exelon outlining the nature of the nonconformance and the BWXT evaluation of the nonconformance. The BWXT letter contains an evaluation demonstrating this condition does not represent a substantial safety hazard (a loss of safety function to the extent that there is a major reduction in the degree of protection provided to public health and safety for any facility or activity licensed or otherwise approved or regulated by the NRC). Exelon has reviewed the BWXT assessment and concurs this issue does not pose a substantial safety hazard. This Issue Report was written to initiate actions necessary for notification and resolution of the ASME Code of Construction nonconformance on the Byron and Braidwood Unit 1 replacement steam generator affected secondary side nozzles. BWXT Canada (Cambridge, Ontario) (formally Babcock & Wilcox Canada) was in the process of manufacturing a replacement steam generator for another utility when it was discovered that the process procedures for removing surface indications on the small nozzles following final machining did not document the depth of excavation required to eliminate the indication. Specifically, during Engineering review of a replacement steam generator currently in production at BWXT's Cambridge facility, it was discovered that volumetric-NDE of the weld repair (as required by ASME Code Section III NB-4453.4 when the excavation exceeds the lesser of 10% of the section thickness or 3/8"") was missed on a small-nozzle weld repair, contrary to the ASME Section III Div 1 Class 1 Code requirement. The small nozzle in question is fabricated by weld metal buildup as permitted by NB-4244(c). An extent-of- condition evaluation was initiated to identify the list of potential projects, with priority on components in operating nuclear plants. Upon completion of the extent-of-condition for items supplied to Exelon, it was determined that replacement steam generators installed in Byron Unit 1 (BWXT Contract 7720) and Braidwood Unit 1 (BWXT Contract 7735) are affected. The affected nozzles by Replacement Steam Generator (RSG) serial numbers are (refer to assembly drawing 7720E001, 7720E214 and 7720D105, et. al. for details): Byron Station RSG's 7720-02 . Recirculation nozzle W18 7720-03 . Blowdown nozzles (2) W32, W33 7720-04 . Recirculation nozzle W18 and Blowdown nozzles (2) W32, W33 Braidwood Station RSG's 7735-01 . Recirculation nozzle W18 7735-03 . Recirculation nozzle W18 and Blowdown nozzles (2) W32, W33 7735-04 . Recirculation nozzle W18 All of the affected nozzles are 3-inch nozzles manufactured by depositing weld metal on the outer surface of the RSG shell. After the weld deposit is completed, a volumetric examination of the deposit was completed, per ASME Code, on all nozzles to verify no unacceptable defects within the body of the deposit. After completion of the volumetric examination, the weld deposit is machined to the required dimensional specifications and the penetration is bored through the weld deposit and RSG shell (the blowdown ports are bored into the RSG tubesheet). After machining, BWXT performs surface examinations for defects as required by ASME Code. All unacceptable indications are repairs through defect removal and weld repair. Surface non-destructive examinations a (NDE) are performed to verify elimination of unacceptable indications. This was completed successfully by BWXT. The ASME Code for Section III Class 1 components (NB-4453.4) states when excavation to eliminate surface indications exceeds a specified depth, the original NDE requirements (volumetric examination) must be applied to the repaired component. BWXT has determined that the above identified nozzles did require repair of surface indications and the documented records do not indicate the depth of the excavations and no post-repair volumetric examinations were performed. The lack of documentation related to surface excavation depth means full compliance with ASME Code Section III Class 1 NB-4453.4 is indeterminant as BWXT cannot confirm if a post-repair volumetric examination was required. This is the ASME Code nonconformance. After completion of the nozzle fabrication, the appropriate Code-required post weld heat treatments, post-heat treatment surface NDE, hydro testing and post-test surface NDE was completed successfully. There were no other issues identified with any of the potentially affected nozzles. This subsequent testing and inspections provide confidence in the integrity of the manufactured nozzles. Furthermore, BWXT calculation 222-7720-B54 completed at the time of RSG delivery to Exelon shows the 3-inch nozzles are lightly loaded (deadweight, thermal, OBE) with significant margin to stress limits and no reinforcement at the shell or tubesheet is required. BWXT in their evaluation states: ""In all cases where weld buildup has been used by BWXT Canada (and prior when the Company was B&W Canada), nozzles are exempt from reinforcement in accordance with NB-3332.1. That is, the weld metal buildup is not required to structurally reinforce the vessel wall. The weld metal buildups were fabricated in compliance with NB-4244(c), which is a provision for using weld metal to reinforce openings in vessels. This is a conservative approach since the vessel wall does not require reinforcement because the nozzle openings are small (meeting the ""small"" criteria of NB-3332.1). In all cases, the affected small nozzles are located on the secondary side of steam generators, where the thermal transients are relatively benign and piping loads are modest (or negligible, meeting the Code criteria of ""substantially no piping loads"")."" For clarification of the above BWXT comment, the blowdown nozzles are actually installed on the tubesheet, the boundary between the primary and secondary side of the RSG. ASME Code nonconformances may be resolved by taking actions to achieve compliance (volumetric exams are not easily done after RSG installation) or through NRC Relief. The BWXT letter provides a potential alternative means of resolution of this issue. BWXT indicated the Exelon purchase specification required the RSGs to be constructed in accordance with ASME Section III, Class 1 requirements of the 1986 Edition. The small nozzles in question are classified as part of the vessel in the Certified Design Specification; however, there may be opportunities for Exelon to reassess the classification of the affected nozzles and eliminate the need for post-surface repair volumetric NDE. This Issue Report will create the necessary actions to review available paths to resolution. In accordance with NB-5243(c), full penetration corner welded branch and piping connections less than NPS 4 only require surface examination, not volumetric examination (all of the small nozzles are less than NPS 4). With that in mind, a weld repair in a previously volumetrically examined weld-metal-buildup small-nozzle is analogous to a butt-weld in a branch piping connection to the component . actually bounded by the branch piping connection, since it is unlikely any small-nozzle weld-repair would have extended around the full-circumference like a butt-weld; recognizing that in the limit, they are essentially the same. A weld-buildup small-nozzle on a steam generator where a weld repair did not receive volumetric examination (only surface examination) is at no more risk of failure than branch connections less than NPS 4 elsewhere in the plant. The Exelon review of potential resolution actions should include a consideration of design specification revisions to potentially eliminate the current nonconformance. The consequences of failure in a basic component as a result of the condition would not result in a substantial safety hazard. Failure of a small nozzle would result in a small opening in the pressure boundary; most probable as a small leak, but in the limit postulated as a guillotine rupture of the nozzle; recognizing that there is no reasonable mechanistic means of that happening (the material is ductile, not highly cyclically loaded, modest or negligible piping loads, previously volumetrically examined prior to repair, surface examined after repair, etc.). The pressure boundary is adequately structurally reinforced without the nozzle, as noted above, and therefore the failure could not propagate into the vessel pressure boundary. Break sizes this small are bounded by much larger breaks in the plant safety analysis (instantaneous guillotine rupture of; the feedwater line or steam line; for example). This Issue report identifies a condition of indeterminacy regarding full compliance with ASME Code. The available records do not provide the information necessary to determine if a post-surface repair volumetric examination was required on certain small secondary-side RSG piping nozzles. All required examinations and testing of the manufactured nozzles were completed satisfactorily with the potential exception of post-surface repair volumetric examinations. There is no evidence of the existence of any actual flaw in any of the affected nozzles. There is no evidence of any degradation in any of the affected nozzles. There has been no evidence of any pressure boundary leakage at these nozzles since the RSGs were placed into service. This Issue Report was generated to document notification from the vendor (BWXT) of a potential missed volumetric examination required by ASME Section III NB-4453.4. Exelon will initiate the appropriate actions to address a potential ASME Code nonconformance per CC-AA-11 and other applicable procedures. Exelon concurs this issue does not create a substantial safety hazard based on the evaluation provided by BWXT (reference BWXT letter Rev. 1, dated August 16, 2019).",['50.72(b)(3)(ii)(A)']
"UNEXPECTED ALARM 902-3 C-16, RX BLDG FUEL POOL CH A RAD HI. Actions Taken: U2 and U3 RB Ventilations tripped and isolated as expected. 2/3A SBGT auto started and maintained RB d/P. The lowest d/P seen on 2/3-5740-22 was -0.25 inwc. Current d/P is -0.3 inwc as seen on camera system pointing at South Refuel Floor dP instrument. At panel 903-10, the high light on RIS 3-1705-16A was illuminated and rad level was about 10 mR/hr. At panel 903-2, on RR 3-1801-6 the highest recorded rad level for Fuel Pool Ch A was 20 R/hr (spiked twice) and rad level had returned to normal levels.",[]
"On 09/04/2019 at 1036 1AR12J spiked causing CONT VENT ISOLATION ALARM (Window 1-5-c-7) to alarm. No U-1 containment release was in progress. The max rad level the skid spiked to was 1183 MR/HR. Bar actions were complete and reading was verified a false spike as compared with 1AR11J rad levels. Had a containment release been in progress on U-1 actuation of vent valves would have occurred unnecessarily. A failure of the rad monitor high would also prevent us from releasing U-1 containment to relieve pressure and maintain below tech spec limits on U-1 containment. Reference IR's 4248397, 4205022, 4199891, 4271016.",['50.72(b)(3)(iv)(A)']
"During Reactor Water clean up temp Cals were being conducted to WO C93667522 and procedure N2-ISP-LDS-R104, RCIC (Reactor Core Isolation cooling) valves 2ICS*MOV121 and 2ICS*MOV150 isolated due to human performance errors (procedure use and adherence and verification HU-AA-101). The procedure guided to lift a lead and the wrong lead was lifted inadvertently, causing the valves to close which put the unit in a 14-day LCO. Work was stopped and placed in a safe condition directed by the SM and FLS.",['50.72(b)(3)(iv)(A)']
FMT Vehicle satellite radio is not functioning correctly. The radio allows for connection to the other connections on the satellite conference line and is heard clearly. The push-button for transmitting does not engage properly preventing any outgoing messages.,['50.72(b)(3)(xiii)']
"While performing C93724124 for R-12 detector replacement in conjunction with CPI-MON-R12, the manner in which the technician removed the leads for a DMM caused a jumper installed by CPI-MON-R12 to be removed unintentionally.",[]
Control room made announcement that rod CEA35 had dropped and unit cable spreading room fire system had deployed and released Halon into the room. Writing this IR for starting the troubleshooting process and walk down.,['50.72(b)(2)(i)']
"While troubleshooting for dropped U1 CEA 35, EM technicians discovered the internal electrical components to the ""Load Transfer"" power switch showed visible signs of failure. Initial investigation, load transfer power switch showed visible signs of overheating, component damage and acrid odor.",['50.72(b)(2)(i)']
"On Tuesday October 29, 2019 at 0919hrs Will County Laraway Communications Center (LCC) at Will County Sheriff office accidently activated the 'Braidwood All Call' instead of the 'All Call Cancel' command. This activated the Will County sirens around the Braidwood station. Once the error was noticed, they immediately sent out an 'All Call Cancel' command, as did the technician from Fulton. The sirens were activated for 22 seconds as confirmed by J&D Ingenuities. In speaking with the LCC Supervisor, the WESCOM dispatcher, and the Will County EMA office there have only been a small number of calls received regarding the accidental activation. At this time, we do not believe that a press release is necessary.",['50.72(b)(2)(xi)']
"On Tuesday October 29, 2019 at 0919hrs Will County Laraway Communications Center (LCC) at Will County Sheriff office accidently activated the 'Braidwood All Call' instead of the 'All Call Cancel' command. This activated the Will County sirens around the Braidwood station. Once the error was noticed, they immediately sent out an 'All Call Cancel' command, as did the technician from Fulton. The sirens were activated for 22 seconds as confirmed by J&D Ingenuities. In speaking with the LCC Supervisor, the WESCOM dispatcher, and the Will County EMA office there have only been a small number of calls received regarding the accidental activation. At this time, we do not believe that a press release is necessary. Affected sirens include BD01,BD04,BD08,BD09,BD10,BD11,BD16,BD17,BW01.BW02,BW03,BW05, BW06,BW08,BW09,BW11,BW14,DR14",['50.72(b)(2)(xi)']
Received PPC alarm 5009-3H on Division 4 DC bus voltage. Bus voltage lowered to 126.1VDC with an oscillating current as low as -23.8 amps and as high as 18.14 amps. Attached photos show the incident and voltage changes on division 4 DC of much greater magnitude than the other divisions.,['50.72(b)(3)(v)(D)']
"Emergency Diesel Generator 'B' cylinder 4R Kiene valve was found not fully seated when the EDG was started for monthly surveillance testing per STP-O-12.2. This provides an exhaust path from the cylinder into the EDG room. The PPO tightened the valve to stop the exhaust gas leakage. In the absence of leakage, the monthly surveillance test continued.",['50.72(b)(3)(v)(A)']
